,0
octane,0
NIR.900 nm,0
NIR.902 nm,0
NIR.904 nm,0
NIR.906 nm,0
NIR.908 nm,0
NIR.910 nm,0
NIR.912 nm,0
NIR.914 nm,0
NIR.916 nm,0
NIR.918 nm,0
NIR.920 nm,0
NIR.922 nm,0
NIR.924 nm,0
NIR.926 nm,0
NIR.928 nm,0
NIR.930 nm,0
NIR.932 nm,0
NIR.934 nm,0
NIR.936 nm,0
NIR.938 nm,0
NIR.940 nm,0
NIR.942 nm,0
NIR.944 nm,0
NIR.946 nm,0
NIR.948 nm,0
NIR.950 nm,0
NIR.952 nm,0
NIR.954 nm,0
NIR.956 nm,0
NIR.958 nm,0
NIR.960 nm,0
NIR.962 nm,0
NIR.964 nm,0
NIR.966 nm,0
NIR.968 nm,0
NIR.970 nm,0
NIR.972 nm,0
NIR.974 nm,0
NIR.976 nm,0
NIR.978 nm,0
NIR.980 nm,0
NIR.982 nm,0
NIR.984 nm,0
NIR.986 nm,0
NIR.988 nm,0
NIR.990 nm,0
NIR.992 nm,0
NIR.994 nm,0
NIR.996 nm,0
NIR.998 nm,0
NIR.1000 nm,0
NIR.1002 nm,0
NIR.1004 nm,0
NIR.1006 nm,0
NIR.1008 nm,0
NIR.1010 nm,0
NIR.1012 nm,0
NIR.1014 nm,0
NIR.1016 nm,0
NIR.1018 nm,0
NIR.1020 nm,0
NIR.1022 nm,0
NIR.1024 nm,0
NIR.1026 nm,0
NIR.1028 nm,0
NIR.1030 nm,0
NIR.1032 nm,0
NIR.1034 nm,0
NIR.1036 nm,0
NIR.1038 nm,0
NIR.1040 nm,0
NIR.1042 nm,0
NIR.1044 nm,0
NIR.1046 nm,0
NIR.1048 nm,0
NIR.1050 nm,0
NIR.1052 nm,0
NIR.1054 nm,0
NIR.1056 nm,0
NIR.1058 nm,0
NIR.1060 nm,0
NIR.1062 nm,0
NIR.1064 nm,0
NIR.1066 nm,0
NIR.1068 nm,0
NIR.1070 nm,0
NIR.1072 nm,0
NIR.1074 nm,0
NIR.1076 nm,0
NIR.1078 nm,0
NIR.1080 nm,0
NIR.1082 nm,0
NIR.1084 nm,0
NIR.1086 nm,0
NIR.1088 nm,0
NIR.1090 nm,0
NIR.1092 nm,0
NIR.1094 nm,0
NIR.1096 nm,0
NIR.1098 nm,0
NIR.1100 nm,0
NIR.1102 nm,0
NIR.1104 nm,0
NIR.1106 nm,0
NIR.1108 nm,0
NIR.1110 nm,0
NIR.1112 nm,0
NIR.1114 nm,0
NIR.1116 nm,0
NIR.1118 nm,0
NIR.1120 nm,0
NIR.1122 nm,0
NIR.1124 nm,0
NIR.1126 nm,0
NIR.1128 nm,0
NIR.1130 nm,0
NIR.1132 nm,0
NIR.1134 nm,0
NIR.1136 nm,0
NIR.1138 nm,0
NIR.1140 nm,0
NIR.1142 nm,0
NIR.1144 nm,0
NIR.1146 nm,0
NIR.1148 nm,0
NIR.1150 nm,0
NIR.1152 nm,0
NIR.1154 nm,0
NIR.1156 nm,0
NIR.1158 nm,0
NIR.1160 nm,0
NIR.1162 nm,0
NIR.1164 nm,0
NIR.1166 nm,0
NIR.1168 nm,0
NIR.1170 nm,0
NIR.1172 nm,0
NIR.1174 nm,0
NIR.1176 nm,0
NIR.1178 nm,0
NIR.1180 nm,0
NIR.1182 nm,0
NIR.1184 nm,0
NIR.1186 nm,0
NIR.1188 nm,0
NIR.1190 nm,0
NIR.1192 nm,0
NIR.1194 nm,0
NIR.1196 nm,0
NIR.1198 nm,0
NIR.1200 nm,0
NIR.1202 nm,0
NIR.1204 nm,0
NIR.1206 nm,0
NIR.1208 nm,0
NIR.1210 nm,0
NIR.1212 nm,0
NIR.1214 nm,0
NIR.1216 nm,0
NIR.1218 nm,0
NIR.1220 nm,0
NIR.1222 nm,0
NIR.1224 nm,0
NIR.1226 nm,0
NIR.1228 nm,0
NIR.1230 nm,0
NIR.1232 nm,0
NIR.1234 nm,0
NIR.1236 nm,0
NIR.1238 nm,0
NIR.1240 nm,0
NIR.1242 nm,0
NIR.1244 nm,0
NIR.1246 nm,0
NIR.1248 nm,0
NIR.1250 nm,0
NIR.1252 nm,0
NIR.1254 nm,0
NIR.1256 nm,0
NIR.1258 nm,0
NIR.1260 nm,0
NIR.1262 nm,0
NIR.1264 nm,0
NIR.1266 nm,0
NIR.1268 nm,0
NIR.1270 nm,0
NIR.1272 nm,0
NIR.1274 nm,0
NIR.1276 nm,0
NIR.1278 nm,0
NIR.1280 nm,0
NIR.1282 nm,0
NIR.1284 nm,0
NIR.1286 nm,0
NIR.1288 nm,0
NIR.1290 nm,0
NIR.1292 nm,0
NIR.1294 nm,0
NIR.1296 nm,0
NIR.1298 nm,0
NIR.1300 nm,0
NIR.1302 nm,0
NIR.1304 nm,0
NIR.1306 nm,0
NIR.1308 nm,0
NIR.1310 nm,0
NIR.1312 nm,0
NIR.1314 nm,0
NIR.1316 nm,0
NIR.1318 nm,0
NIR.1320 nm,0
NIR.1322 nm,0
NIR.1324 nm,0
NIR.1326 nm,0
NIR.1328 nm,0
NIR.1330 nm,0
NIR.1332 nm,0
NIR.1334 nm,0
NIR.1336 nm,0
NIR.1338 nm,0
NIR.1340 nm,0
NIR.1342 nm,0
NIR.1344 nm,0
NIR.1346 nm,0
NIR.1348 nm,0
NIR.1350 nm,0
NIR.1352 nm,0
NIR.1354 nm,0
NIR.1356 nm,0
NIR.1358 nm,0
NIR.1360 nm,0
NIR.1362 nm,0
NIR.1364 nm,0
NIR.1366 nm,0
NIR.1368 nm,0
NIR.1370 nm,0
NIR.1372 nm,0
NIR.1374 nm,0
NIR.1376 nm,0
NIR.1378 nm,0
NIR.1380 nm,0
NIR.1382 nm,0
NIR.1384 nm,0
NIR.1386 nm,0
NIR.1388 nm,0
NIR.1390 nm,0
NIR.1392 nm,0
NIR.1394 nm,0
NIR.1396 nm,0
NIR.1398 nm,0
NIR.1400 nm,0
NIR.1402 nm,0
NIR.1404 nm,0
NIR.1406 nm,0
NIR.1408 nm,0
NIR.1410 nm,0
NIR.1412 nm,0
NIR.1414 nm,0
NIR.1416 nm,0
NIR.1418 nm,0
NIR.1420 nm,0
NIR.1422 nm,0
NIR.1424 nm,0
NIR.1426 nm,0
NIR.1428 nm,0
NIR.1430 nm,0
NIR.1432 nm,0
NIR.1434 nm,0
NIR.1436 nm,0
NIR.1438 nm,0
NIR.1440 nm,0
NIR.1442 nm,0
NIR.1444 nm,0
NIR.1446 nm,0
NIR.1448 nm,0
