,count,mean,std,min,25%,50%,75%,max,coef_var,skew,kurtosis
octane,60.0,87.17750000000001,1.530077681643781,83.4,85.875,87.75,88.45,89.6,0.01755129112034391,-0.6273157898984482,-0.8356813430544716
NIR.900 nm,60.0,-0.05282696666666666,0.004495289312032103,-0.062839,-0.0557735,-0.053543499999999994,-0.050083,-0.041806,-0.08509459459213262,0.27487270252585955,-0.006209622493700717
NIR.902 nm,60.0,-0.04743543333333334,0.004368143558540928,-0.056232,-0.0505365,-0.047905,-0.044274999999999995,-0.036621,-0.09208608948179231,0.25983455125760846,-0.060912899117163466
NIR.904 nm,60.0,-0.04358503333333333,0.004437645898166518,-0.053075,-0.04637875,-0.0439305,-0.04059125,-0.03243,-0.10181581976152025,0.236458791549166,0.025089864808700124
NIR.906 nm,60.0,-0.03918416666666667,0.0046334749055719476,-0.048156,-0.042071250000000004,-0.0400645,-0.03630825,-0.026807,-0.11824865244648851,0.41726823005866603,0.11380370650047933
NIR.908 nm,60.0,-0.03473640000000001,0.004597715892756802,-0.044493,-0.0373995,-0.035583000000000004,-0.032077999999999995,-0.021276,-0.13236017240579914,0.4929851866964105,0.6214443309162605
NIR.910 nm,60.0,-0.03241,0.0047711657176296805,-0.041965,-0.03535125,-0.0336575,-0.02957725,-0.018356,-0.14721276512279174,0.525606720902283,0.5239561740866816
NIR.912 nm,60.0,-0.03083124999999999,0.004755479453719231,-0.040467,-0.03388625,-0.031445,-0.02838425,-0.016116,-0.1542421878360181,0.6392913409064648,0.8659239165628159
NIR.914 nm,60.0,-0.033576166666666664,0.004819000551020352,-0.043202,-0.03659325,-0.034728499999999995,-0.03051475,-0.01968,-0.14352444097808523,0.47496972083012934,0.35677772492231075
NIR.916 nm,60.0,-0.03674208333333332,0.004550886992297948,-0.046477,-0.0394245,-0.0374385,-0.03406025,-0.024589,-0.12386034158736099,0.2633423930247737,0.2993146615464495
NIR.918 nm,60.0,-0.03975928333333333,0.0044089450757605776,-0.049311,-0.042737,-0.040417999999999996,-0.03640525,-0.029472,-0.11089095944705352,0.10496119676514165,-0.17199279738289386
NIR.920 nm,60.0,-0.04369881666666666,0.004310410517598758,-0.053121,-0.0462765,-0.044046,-0.04101775,-0.034026,-0.09863906728821624,0.015281967680702628,-0.11396588990070589
NIR.922 nm,60.0,-0.04713623333333334,0.004379274869805586,-0.057098,-0.049672,-0.047236,-0.04489825,-0.037434,-0.09290676322897216,-0.10946726160361404,0.02204238710687445
NIR.924 nm,60.0,-0.0517935,0.004432838848214233,-0.062088,-0.05447675,-0.0517165,-0.04934525,-0.041974,-0.08558677919457525,-0.09587091694953158,-0.046418214809271774
NIR.926 nm,60.0,-0.052985666666666674,0.004293496685140299,-0.062803,-0.055684,-0.0530335,-0.050592,-0.043457,-0.08103128553898786,-0.0607590671360967,-0.15071115288463188
NIR.928 nm,60.0,-0.05523884999999999,0.004263352098139664,-0.065006,-0.05783275,-0.0552095,-0.05281775,-0.045809,-0.07718031961454057,-0.08846777465819021,-0.13046637214389323
NIR.930 nm,60.0,-0.05839763333333333,0.0041345472564501195,-0.06786,-0.06084375,-0.0584035,-0.0560445,-0.049081,-0.0707999112369871,-0.006527686732119717,-0.2394499966688186
