,0
AADK_at,0
AAPA_at,0
ABFA_at,0
ABH_at,0
ABNA_at,0
ABRB_at,0
ACCA_at,0
ACCB_at,0
ACCC_at,0
ACDA_at,0
ACKA_at,0
ACOA_at,0
ACOB_at,0
ACOC_at,0
ACOL_at,0
ACOR_at,0
ACPA_at,0
ACSA_at,0
ACUA_at,0
ACUB_at,0
ACUC_at,0
ADAA_at,0
ADAB_at,0
ADDA_at,0
ADDB_at,0
ADEC_at,0
ADHA_at,0
ADHB_at,0
ADK_at,0
AHPC_at,0
AHPF_at,0
AHRC_at,0
ALAS_at,0
ALD_at,0
ALDX_at,0
ALDY_at,0
ALKA_at,0
ALSD_at,0
ALSR_at,0
ALSS_at,0
ALST_at,0
AMHX_at,0
AMPS_at,0
AMYC_at,0
AMYD_at,0
AMYE_at,0
AMYX_at,0
ANSA_at,0
ANSB_at,0
ANSR_at,0
APPA_at,0
APPB_at,0
APPC_at,0
APPD_at,0
APPF_at,0
APRE_at,0
APRX_at,0
APT_at,0
ARAA_at,0
ARAB_at,0
ARAD_at,0
ARAE_at,0
ARAL_at,0
ARAM_at,0
ARAN_at,0
ARAP_at,0
ARAQ_at,0
ARAR_at,0
ARGB_at,0
ARGC_at,0
ARGD_at,0
ARGE_at,0
ARGF_at,0
ARGG_at,0
ARGH_at,0
ARGJ_at,0
ARGS_at,0
AROA_at,0
AROB_at,0
AROC_at,0
AROD_at,0
AROE_at,0
AROF_at,0
AROH_at,0
AROI_at,0
arsB_at,0
arsC_at,0
arsR_at,0
ASD_at,0
ASK_r_at,0
ASNB_at,0
ASNH_at,0
ASNS_at,0
ASPB_at,0
ASPS_at,0
ATPA_at,0
ATPB_at,0
ATPC_at,0
ATPD_at,0
ATPE_at,0
ATPF_at,0
ATPG_at,0
ATPH_at,0
ATPI_at,0
AZLB_at,0
AZLC_at,0
AZLD_at,0
bcd_at,0
BCSA_at,0
BEX_at,0
BFMBAA_at,0
BFMBAB_at,0
BFMBB_at,0
BGLA_at,0
BGLC_at,0
BGLH_at,0
BGLP_at,0
BGLS_at,0
bhlA_i_at,0
bhlB_at,0
BIOA_at,0
BIOB_at,0
BIOD_at,0
BIOF_at,0
BIOI_at,0
BIOW_at,0
BIRA_s_at,0
bkdR_at,0
BLT_at,0
BLTD_at,0
BLTR_at,0
blyA_at,0
BMR_at,0
BMRR_at,0
BMRU_at,0
BOFA_at,0
BOFC_at,0
BPR_at,0
BRAB_at,0
BRNQ_at,0
BSAA_at,0
CAH_at,0
CARA_at,0
CARB_at,0
cca_at,0
CCCA_at,0
CCCB_at,0
CCDA_at,0
CCPA_at,0
ccpB_at,0
CDD_at,0
CDSA_at,0
CGEA_at,0
CGEB_at,0
CGEC_at,0
CGED_at,0
CGEE_at,0
CHEA_at,0
CHEB_at,0
CHEC_at,0
CHED_at,0
CHER_at,0
CHEV_at,0
CHEW_at,0
CHEY_at,0
CINA_at,0
CITA_at,0
CITB_at,0
CITC_at,0
CITG_at,0
CITH_at,0
CITM_at,0
CITR_at,0
CITS_at,0
CITT_at,0
CITZ_at,0
CLPC_at,0
CLPE_at,0
CLPP_at,0
CLPQ_at,0
CLPX_at,0
CLPY_at,0
CMK_at,0
CODV_at,0
CODY_at,0
COMA_at,0
COMC_at,0
COMEA_at,0
COMEB_at,0
COMEC_at,0
COMER_at,0
COMFA_at,0
COMFB_at,0
COMFC_at,0
COMGA_at,0
COMGB_at,0
COMGC_at,0
COMGD_at,0
COMGE_at,0
COMGF_at,0
COMGG_at,0
COMK_at,0
COMP_at,0
COMQ_at,0
COMX_at,0
COTA_at,0
COTB_at,0
COTC_i_at,0
COTD_at,0
COTE_at,0
COTF_at,0
COTG_at,0
COTH_at,0
COTJA_at,0
COTJB_at,0
COTJC_at,0
COTK_at,0
COTL_r_at,0
COTM_at,0
cotSA_at,0
COTS_at,0
COTT_at,0
COTV_at,0
COTW_at,0
COTX_at,0
COTY_at,0
COTZ_at,0
CRH_at,0
CSAA_at,0
CSBA_at,0
CSBB_at,0
csbC_at,0
csbD_i_at,0
CSBX_at,0
CSFB_i_at,0
CSGA_at,0
CSN_at,0
CSPB_at,0
CSPC_at,0
CSPD_at,0
CSPR_at,0
CSRA_at,0
CSTA_at,0
CTAA_at,0
CTAB_at,0
CTAC_at,0
CTAD_at,0
CTAE_at,0
CTAF_at,0
CTAG_at,0
CTC_at,0
CTPA_at,0
CTRA_at,0
CTSR_at,0
CWLA_at,0
CWLC_at,0
CWLD_at,0
CWLJ_at,0
CYDA_at,0
CYDB_at,0
CYDC_at,0
CYDD_at,0
CYPA_at,0
CYPX_at,0
CYSE_at,0
CYSH_at,0
CYSK_at,0
CYSS_at,0
CZCD_at,0
DACA_at,0
DACB_at,0
dacC_at,0
DACF_at,0
DAL_at,0
DAPA_at,0
DAPB_at,0
DAPG_at,0
DAT_at,0
DDLA_at,0
DEAD_at,0
DEF_at,0
DEGA_at,0
DEGQ_r_at,0
DEGR_r_at,0
DEGS_at,0
DEGU_at,0
DEOD_at,0
DEOR_at,0
des_at,0
DFRA_at,0
DGKA_at,0
DHAS_at,0
DHBA_at,0
DHBB_at,0
DHBC_at,0
DHBE_at,0
DHBF_at,0
DINB_at,0
DING_at,0
DIVIB_at,0
DIVIC_at,0
DIVIVA_at,0
DLTA_at,0
DLTB_at,0
DLTC_at,0
DLTD_at,0
DLTE_at,0
