,count,mean,std,min,25%,50%,75%,max,coef_var,skew,kurtosis
AADK_at,71.0,6.885158622175273,0.5011172681067054,6.16346080127634,6.493957294568485,6.82149294238092,7.07638718180392,8.49240360063487,0.07278224012047295,1.8734843714247118,0.8255408557839243
AAPA_at,71.0,7.605890467897056,0.4167902130352769,6.62548140686525,7.3247463689601595,7.61165941792316,7.9106936018810305,8.63726214170747,0.05479834541326425,1.2301563566658373,-0.007874571342520564
ABFA_at,71.0,7.776193380052717,0.3880856407462415,6.85393046889689,7.494707959474985,7.77767955163945,8.003883662491246,8.96595182325628,0.04990689168581486,1.2796769214754562,0.3583814629605908
ABH_at,71.0,8.827109571068677,0.8506951445228303,7.03460961878436,8.282917194772725,8.74876746237994,9.442232966398585,10.5359638010437,0.09637301289552688,1.975691444035538,-0.6739344600780042
ABNA_at,71.0,7.265687722000208,0.7638467919288172,5.0541364465745,6.817339152862325,7.28039275459895,7.770192077984975,8.913470779678,0.10513069390746317,2.3621223857840885,0.1413171124931485
ABRB_at,71.0,9.034336222604752,0.8201620533635711,7.14884249683039,8.486444379720146,9.06778904728497,9.718829958515187,10.4755834018871,0.09078276844639112,2.0154975441649903,-0.5309989597360891
ACCA_at,71.0,8.589085131006666,0.5542838286264798,6.87730398249416,8.291932062601125,8.62465731919273,8.97188299914799,9.74547415905923,0.0645335120297633,2.3497909546202216,1.3557079078840388
ACCB_at,71.0,8.7543079886573,0.5493549813104683,7.48515900672345,8.387450377043503,8.73707997218276,9.032523714952035,9.92607691282636,0.0627525307565431,1.549566435021865,-0.14636718040887597
ACCC_at,71.0,8.7984257460363,0.5243855251875765,7.76780187555309,8.506905205525879,8.80230100114961,9.04928852667937,9.94314368891009,0.05959992620541383,1.344014386918902,-0.4191987758968607
ACDA_at,71.0,8.065979928080175,0.27719413583709124,7.47831549254537,7.90631503378342,8.0676097208384,8.250222236040564,9.19619307375969,0.03436583506389504,1.6351313566673824,3.1128669109260585
ACKA_at,71.0,6.840076961713837,0.3382642387926625,5.9429176526591,6.653875517436305,6.77916362240202,7.120570987590245,7.60379163172781,0.0494532796467114,0.9417326665590331,-0.1852118900148767
ACOA_at,71.0,10.35151600514066,1.0981484797038614,7.83367760290955,9.749950387957629,10.4686905362426,11.2273208492274,12.3500952411014,0.10608576358849377,2.678634869524339,-0.5502799902143605
ACOB_at,71.0,9.822194961605394,1.0208186526623737,8.03945128372441,9.141849339095865,9.73123262921893,10.61507751746245,11.6902742716429,0.10392978928362927,2.2184225100504498,-0.8319783855730676
ACOC_at,71.0,10.077964372094097,1.1089329490903481,7.49644308750868,9.40876789027846,10.2108180639702,10.9785207653215,12.1135427603832,0.11003541073840126,2.5763485928225487,-0.6730613529230589
ACOL_at,71.0,10.262310865582466,1.1202568274493077,7.82744263176786,9.57507455749879,10.3700604184521,11.06457178961825,12.2237374425331,0.10916223861493056,2.681210113048269,-0.5988159800934798
ACOR_at,71.0,9.357874974074129,0.5119417284530217,8.13044399564602,9.027884557040391,9.38765667408095,9.74239386303935,10.5081227114452,0.054707049396508244,1.3343741062129473,-0.3731729530681065
ACPA_at,71.0,9.944022376445275,0.7220373013864237,8.16086480888225,9.561997689804905,10.196828335014,10.42894723007735,11.0821380530055,0.07261018469716406,1.9198017579250757,-0.31772049972749095
ACSA_at,71.0,10.164098180639465,0.590091157420681,8.59031040411458,9.800338149599595,10.3603349689824,10.588124769479201,11.1085800208971,0.058056420445119696,1.767237808788381,0.03803125175433175
ACUA_at,71.0,8.634806260531798,0.474246711584286,7.39263371098169,8.340985761755451,8.66977722684054,8.894141046356744,9.80579946489018,0.05492268121312524,1.7591165800144708,0.7944867260481048
ACUB_at,71.0,8.790217094249757,0.5135822297175802,7.24121288593987,8.45995684961651,8.78988686215071,9.187103743847965,9.70335884742851,0.05842656947045678,1.5142604050875377,-0.011127017802834871
ACUC_at,71.0,9.421936298531106,0.601681078867033,7.77372518128096,9.11882242379175,9.41928018023698,9.901154097544506,10.5395682796033,0.06385959953484678,1.9337371676859945,0.2699506681152255
ADAA_at,71.0,7.315930420493261,0.4789632293965174,6.37326951091382,7.003644716877854,7.26035184971672,7.637567784739,8.93640943805199,0.0654685326222969,1.910248590406235,1.089912543841666
ADAB_at,71.0,7.139328454867033,0.4163634583504233,6.14106435475884,6.87234191035495,7.09408293336973,7.40479959179779,8.35871338450892,0.05831969505011069,1.5785210144590427,0.8812292818070091
ADDA_at,71.0,8.622795246733984,0.5194932287506099,7.20407728176694,8.31719312867375,8.59569863757479,9.060540786382571,9.56949407210709,0.06024649941066105,1.5043835290489602,-0.06677973851747288
ADDB_at,71.0,8.762472361763205,0.41177841209106525,7.61865339304323,8.573874356153055,8.74761849578999,9.01686774886503,9.67220992027281,0.0469934049535999,1.5245510076104698,0.7871512043194402
ADEC_at,71.0,7.702931127422832,0.305282497077621,7.1373242496448,7.48279293907983,7.66725711801604,7.94362482528833,8.39615381715039,0.03963199099506415,0.7927977707432429,-0.3833000201952146
ADHA_at,71.0,9.119191078231326,0.3660348776419806,8.57666391679686,8.87819431903549,9.05924370692133,9.353984607328346,10.7329381020731,0.04013896347843315,2.458637637523867,3.979071412783866
