,0
absorbance_1,0
absorbance_2,0
absorbance_3,0
absorbance_4,0
absorbance_5,0
absorbance_6,0
absorbance_7,0
absorbance_8,0
absorbance_9,0
absorbance_10,0
absorbance_11,0
absorbance_12,0
absorbance_13,0
absorbance_14,0
absorbance_15,0
absorbance_16,0
absorbance_17,0
absorbance_18,0
absorbance_19,0
absorbance_20,0
absorbance_21,0
absorbance_22,0
absorbance_23,0
absorbance_24,0
absorbance_25,0
absorbance_26,0
absorbance_27,0
absorbance_28,0
absorbance_29,0
absorbance_30,0
absorbance_31,0
absorbance_32,0
absorbance_33,0
absorbance_34,0
absorbance_35,0
absorbance_36,0
absorbance_37,0
absorbance_38,0
absorbance_39,0
absorbance_40,0
absorbance_41,0
absorbance_42,0
absorbance_43,0
absorbance_44,0
absorbance_45,0
absorbance_46,0
absorbance_47,0
absorbance_48,0
absorbance_49,0
absorbance_50,0
absorbance_51,0
absorbance_52,0
absorbance_53,0
absorbance_54,0
absorbance_55,0
absorbance_56,0
absorbance_57,0
absorbance_58,0
absorbance_59,0
absorbance_60,0
absorbance_61,0
absorbance_62,0
absorbance_63,0
absorbance_64,0
absorbance_65,0
absorbance_66,0
absorbance_67,0
absorbance_68,0
absorbance_69,0
absorbance_70,0
absorbance_71,0
absorbance_72,0
absorbance_73,0
absorbance_74,0
absorbance_75,0
absorbance_76,0
absorbance_77,0
absorbance_78,0
absorbance_79,0
absorbance_80,0
absorbance_81,0
absorbance_82,0
absorbance_83,0
absorbance_84,0
absorbance_85,0
absorbance_86,0
absorbance_87,0
absorbance_88,0
absorbance_89,0
absorbance_90,0
absorbance_91,0
absorbance_92,0
absorbance_93,0
absorbance_94,0
absorbance_95,0
absorbance_96,0
absorbance_97,0
absorbance_98,0
absorbance_99,0
absorbance_100,0
principal_component_1,0
principal_component_2,0
principal_component_3,0
principal_component_4,0
principal_component_5,0
principal_component_6,0
principal_component_7,0
principal_component_8,0
principal_component_9,0
principal_component_10,0
principal_component_11,0
principal_component_12,0
principal_component_13,0
principal_component_14,0
principal_component_15,0
principal_component_16,0
principal_component_17,0
principal_component_18,0
principal_component_19,0
principal_component_20,0
principal_component_21,0
principal_component_22,0
moisture,0
protein,0
fat,0
