,count,mean,std,min,25%,50%,75%,max,coef_var,skew,kurtosis
absorbance_1,240.0,2.8192187499999997,0.41208765142707443,2.06642,2.53101,2.75744,3.035505,4.23728,0.1461708678785832,0.806431603287092,0.6640601498241305
absorbance_2,240.0,2.821923875,0.41463911334542947,2.06583,2.5319975,2.758655,3.0402225,4.24721,0.14693490388553784,0.805084838183684,0.6512615028829343
absorbance_3,240.0,2.824643875,0.41718501477386166,2.06518,2.5305050000000002,2.75974,3.0449625,4.25737,0.14769473010960069,0.8038396592282764,0.6394020033246686
absorbance_4,240.0,2.827411666666667,0.41973715530015926,2.06465,2.5284299999999997,2.7608499999999996,3.0497525000000003,4.26773,0.1484527917347819,0.8026531679278462,0.6282081678287699
absorbance_5,240.0,2.830278416666667,0.4223033835682764,2.06417,2.5284575,2.76204,3.0546825,4.27847,0.14920913118704418,0.8015679660900681,0.6179591776581144
absorbance_6,240.0,2.833298833333333,0.42489261657256416,2.06373,2.5288925,2.7633650000000003,3.0598099999999997,4.28968,0.14996392599812158,0.800579959170875,0.6086429367193826
absorbance_7,240.0,2.8365184999999995,0.42750426130377583,2.0634,2.53029,2.7648599999999997,3.0652375000000003,4.30133,0.15071442731777562,0.7996322836158771,0.6000471384345598
absorbance_8,240.0,2.8399710416666664,0.4301329886624955,2.06314,2.5318975,2.76654,3.07103,4.31331,0.1514568220421246,0.7986004820098416,0.5919153905364496
absorbance_9,240.0,2.843683,0.4327879625161866,2.06301,2.53374,2.76874,3.077145,4.32587,0.15219275936037407,0.7975389424213581,0.584348495820767
absorbance_10,240.0,2.8476994166666665,0.43548345394985266,2.06317,2.5357600000000002,2.77217,3.0837725000000002,4.33927,0.15292465609295294,0.79659442218072,0.5779590988638734
absorbance_11,240.0,2.8519897500000004,0.4382116733709844,2.06347,2.5380775,2.77628,3.0910124999999997,4.3533,0.1536512090799009,0.7957161428530473,0.5726659504715053
absorbance_12,240.0,2.8565737083333334,0.44098192615265275,2.06387,2.5406575,2.78069,3.0987875000000003,4.36811,0.1543744258606733,0.7948403919948316,0.5681663938151424
absorbance_13,240.0,2.8614926249999995,0.4438096215073,2.06434,2.5434449999999997,2.7854099999999997,3.1072275,4.38382,0.15509724457434174,0.7939110391911725,0.5643409774318315
absorbance_14,240.0,2.8667955000000003,0.44671269954840576,2.06493,2.54648,2.790245,3.1164575,4.40059,0.15582300849446906,0.7929658856049527,0.5614416809546201
absorbance_15,240.0,2.8725270416666664,0.44970772433104905,2.06572,2.5497925,2.7959050000000003,3.1260125,4.41851,0.1565547400626469,0.7920134739259798,0.5595190902517011
absorbance_16,240.0,2.878712125,0.45280007589787613,2.06673,2.553385,2.8007,3.1350675,4.43762,0.15729258648878486,0.7909797218944636,0.5583676957347845
absorbance_17,240.0,2.8853520833333333,0.45598772371696455,2.06794,2.5572999999999997,2.804045,3.1441325,4.45793,0.15803538374082235,0.7898903940795434,0.5580696943812513
absorbance_18,240.0,2.8925051666666666,0.45928243425846604,2.06937,2.5615750000000004,2.8091,3.153085,4.47986,0.15878361758908965,0.7888628739350194,0.5591335949292011
absorbance_19,240.0,2.9002028749999997,0.4627075455928978,2.07092,2.5662625,2.81608,3.1639999999999997,4.50321,0.15954316492183251,0.787848377771766,0.5609612588649973
absorbance_20,240.0,2.908393375,0.46628796302655845,2.07277,2.5712525,2.8236850000000002,3.17556,4.52804,0.16032492957613012,0.7870490014599947,0.5640097782085127
absorbance_21,240.0,2.9169287916666664,0.46998533894141076,2.07489,2.5757425,2.83223,3.1862,4.55394,0.16112335010854753,0.7864103315863129,0.5676156524356757
absorbance_22,240.0,2.9255437083333335,0.47372297769280786,2.07718,2.58014,2.843685,3.19901,4.58015,0.1619264741604853,0.7860166789325711,0.5715715068082083
absorbance_23,240.0,2.933975166666667,0.47739999294817514,2.07952,2.584585,2.85211,3.2093475,4.60577,0.162714394577019,0.7858966157226244,0.5754759358540058
absorbance_24,240.0,2.9420735,0.48094045655887874,2.08184,2.5896375,2.86111,3.2197500000000003,4.63006,0.16346989854566135,0.7859803984882925,0.5788175968790306
absorbance_25,240.0,2.9498652916666668,0.48434710923833296,2.08416,2.5947,2.86953,3.229615,4.65297,0.16419295844003712,0.7862190309244804,0.5816273531486562
absorbance_26,240.0,2.9575434166666668,0.4877051585232641,2.08646,2.6006774999999998,2.876655,3.2402625,4.67547,0.16490211294106302,0.7865322832073384,0.584343971704643
absorbance_27,240.0,2.9654499999999997,0.4911552317252113,2.08871,2.6069125,2.882135,3.25202,4.69899,0.16562586849389177,0.7868225260385632,0.5877990784242937
absorbance_28,240.0,2.9739767916666664,0.4949187302036567,2.09084,2.61084,2.886895,3.2642175,4.72511,0.16641647358865094,0.7870727884034907,0.5928868525555155
absorbance_29,240.0,2.9834118750000003,0.4991464624789565,2.09289,2.6155475,2.893105,3.2770175,4.75483,0.1673072587334112,0.787298577520694,0.5997330791071374
absorbance_30,240.0,2.993846208333333,0.50392325516701,2.09478,2.624795,2.901755,3.2955075,4.78872,0.16831968648367643,0.7875997160288586,0.6085272582601111
absorbance_31,240.0,3.00509175,0.5091623820122014,2.09661,2.6323475,2.9104349999999997,3.3148725,4.82591,0.16943322346554024,0.7879483930065714,0.6183688023787881
absorbance_32,240.0,3.0167572083333334,0.5146422568557176,2.09849,2.638465,2.927575,3.33549,4.86466,0.1705945229646246,0.788433608681186,0.6287303266065836
absorbance_33,240.0,3.028486041666667,0.5200880286655841,2.10066,2.6462225000000004,2.9408649999999996,3.3565750000000003,4.90302,0.17173202105279112,0.7891331711852313,0.6390677241172802
absorbance_34,240.0,3.0402362083333334,0.5253160714161271,2.10347,2.654915,2.950165,3.3775225,4.93974,0.17278791364178475,0.7899897656414524,0.6484416850417825
absorbance_35,240.0,3.0523962916666667,0.5303466004858146,2.10722,2.665225,2.9568399999999997,3.3982175,4.97546,0.1737476231162092,0.7911061611567713,0.6567701676911506
absorbance_36,240.0,3.065610625,0.5353481014424333,2.11224,2.67924,2.965555,3.4201125,5.0117,0.17463016897080114,0.7925705922689205,0.6644512830210099
absorbance_37,240.0,3.0805174583333335,0.5404062852973773,2.11908,2.6944225,2.9772299999999996,3.4408125000000003,5.04878,0.17542711333626262,0.7941846212371092,0.6705577553178559
absorbance_38,240.0,3.0969820833333332,0.5454138523447427,2.12781,2.70824,2.991055,3.458415,5.08553,0.17611140060510286,0.7961682969442552,0.6757957724240358
absorbance_39,240.0,3.1144500416666667,0.5499997954541255,2.13855,2.726105,3.00651,3.48609,5.12114,0.17659612069416872,0.7985047023675549,0.6801667645795293
absorbance_40,240.0,3.132088166666667,0.5536370053990723,2.15138,2.741055,3.02339,3.5054825,5.15256,0.17676290574804665,0.8010711218000478,0.6830431604347011
absorbance_41,240.0,3.148904916666667,0.5557135472916849,2.16619,2.75613,3.041195,3.517935,5.17583,0.1764783510452726,0.8034737591384732,0.6830892220925158
absorbance_42,240.0,3.1640207916666667,0.555731211952203,2.18286,2.7715225,3.05947,3.5294049999999997,5.18716,0.1756408217720555,0.8055003849559838,0.6793412950654196
absorbance_43,240.0,3.177001791666667,0.5535418756502981,2.20128,2.78256,3.07572,3.5393525,5.18529,0.17423404579193139,0.8076084427682582,0.6729463380164269
absorbance_44,240.0,3.188117916666667,0.5494695214437664,2.22135,2.7919875,3.08353,3.547265,5.17251,0.1723491840032892,0.81070453052217,0.6665606074141754
absorbance_45,240.0,3.1984175,0.5442494741369314,2.24308,2.80574,3.09395,3.5512575,5.15324,0.17016211114932037,0.8154577032910284,0.6616450777334788
absorbance_46,240.0,3.209523125,0.5388013836415445,2.26663,2.82565,3.102875,3.55112,5.13239,0.16787583782919294,0.8220364326240248,0.6589170480137412
absorbance_47,240.0,3.223260916666667,0.5339434735842893,2.29241,2.848465,3.11936,3.547665,5.11692,0.1656531963712285,0.830345342462615,0.6599261272628505
absorbance_48,240.0,3.241699291666667,0.5302395893441609,2.32141,2.8665825,3.139425,3.5426124999999997,5.11116,0.16356840707194248,0.8397496715146684,0.6650958649162364
